class,group,AUC,CI_AUC_low,CI_AUC_up,AUPRC,CI_AUPRC_low,CI_AUPRC_up,baseline_auprc
Pneumothorax,global,0.54,0.53,0.55,0.03,0.01,0.04,0.1
Pneumothorax,0.0,0.57,0.55,0.58,0.06,0.04,0.08,0.04
Pneumothorax,1.0,0.52,0.51,0.54,0.0,-0.01,0.02,0.07
