class,group,AUC,CI_AUC_low,CI_AUC_up,AUPRC,CI_AUPRC_low,CI_AUPRC_up,baseline_auprc
Pneumothorax,global,0.86,0.86,0.87,0.67,0.66,0.69,0.1
Pneumothorax,0.0,0.79,0.77,0.8,0.52,0.48,0.55,0.04
Pneumothorax,1.0,0.91,0.9,0.91,0.68,0.66,0.7,0.07
