class,group,AUC,CI_AUC_low,CI_AUC_up,AUPRC,CI_AUPRC_low,CI_AUPRC_up,baseline_auprc
Pneumothorax,global,0.7,0.69,0.71,0.23,0.21,0.24,0.1
Pneumothorax,0.0,0.65,0.64,0.67,0.13,0.11,0.15,0.04
Pneumothorax,1.0,0.73,0.72,0.74,0.23,0.22,0.25,0.07
